Start,StructStart,MainStart,,
MainStart,AttributVisibleExtent,MainVisibleExtent,,
MainVisibleExtent,AttributBackgroundColor,MainBackgroundColor,MainVisibleExtentDefault,
MainVisibleExtent,StructStart,MainVisibleExtentStart,,
MainVisibleExtentStart,AttributX,MainVisibleExtentX,,
MainVisibleExtentX,AttributY,MainVisibleExtentY,MainVisibleExtentXDefault,
MainVisibleExtentX,PrimitiveValue,MainVisibleExtentXEnd,ParseMainVisibleExtentX,
MainVisibleExtentXEnd,AttributY,MainVisibleExtentY,,
MainVisibleExtentY,StructEnd,MainVisibleExtentEnd,MainVisibleExtentYDefault,
MainVisibleExtentY,PrimitiveValue,MainVisibleExtentYEnd,ParseMainVisibleExtentY,
MainVisibleExtentYEnd,StructEnd,MainVisibleExtentEnd,,
MainVisibleExtentEnd,AttributBackgroundColor,MainBackgroundColor,,
MainBackgroundColor,AttributShapes,MainShapes,MainBackgroundColorDefault,
MainBackgroundColor,StructStart,MainBackgroundColorStart,,
MainBackgroundColorStart,AttributRed,MainBackgroundColorRed,,
MainBackgroundColorRed,AttributGreen,MainBackgroundColorGreen,MainBackgroundColorRedDefault,
MainBackgroundColorRed,PrimitiveValue,MainBackgroundColorRedEnd,ParseMainBackgroundColorRed,
MainBackgroundColorRedEnd,AttributGreen,MainBackgroundColorGreen,,
MainBackgroundColorGreen,AttributBlue,MainBackgroundColorBlue,MainBackgroundColorGreenDefault,
MainBackgroundColorGreen,PrimitiveValue,MainBackgroundColorGreenEnd,ParseMainBackgroundColorGreen,
MainBackgroundColorGreenEnd,AttributBlue,MainBackgroundColorBlue,,
MainBackgroundColorBlue,StructEnd,MainBackgroundColorEnd,MainBackgroundColorBlueDefault,
MainBackgroundColorBlue,PrimitiveValue,MainBackgroundColorBlueEnd,ParseMainBackgroundColorBlue,
MainBackgroundColorBlueEnd,StructEnd,MainBackgroundColorEnd,,
MainBackgroundColorEnd,AttributShapes,MainShapes,,
MainShapes,StructEnd,MainEnd,MainShapesDefault,
